unique,day,timepoint,Group,Height,Site,Input_D1,Input_D4,Population,Tag,Colour,Size,ID,heartrate,confidence,temperature,SD_hz
Group1_upper 2_31G_mRB_D4_T1,D4,T1,1,upper,upper 2,NA,2,mRB,31,G,5.9,Group1_upper 2_31G_mRB,70.41564792,Good,24.3,0.228175249
Group1_upper 2_32G_uRB_D4_T1,D4,T1,1,upper,upper 2,NA,3,uRB,32,G,6.4,Group1_upper 2_32G_uRB,67.84810127,Good,24.6,0.034484451
Group1_upper 2_33G_mSU_D4_T1,D4,T1,1,upper,upper 2,NA,4,mSU,33,G,4.6,Group1_upper 2_33G_mSU,86.95652174,Good,21.8,0.250670271
Group1_upper 2_39G_mSU_D4_T1,D4,T1,1,upper,upper 2,4,5,mSU,39,G,5,Group1_upper 2_39G_mSU,54.73984319,Good,23,0.343053346
Group1_upper 3_20G_mSU_D4_T1,D4,T1,1,upper,upper 3,NA,5,mSU,20,G,4.4,Group1_upper 3_20G_mSU,78.85425442,Good,24.7,0.285677821
Group1_upper 3_3G_mRB_D4_T1,D4,T1,1,upper,upper 3,NA,0,mRB,3,G,6,Group1_upper 3_3G_mRB,101.095198,Good,21,0.159207777
Group1_upper 3_46Y_mSU_D4_T1,D4,T1,1,upper,upper 3,4,4,mSU,46,Y,5.6,Group1_upper 3_46Y_mSU,39.89361702,Good,18.6,0.24968292
Group1_upper 3_4G_uRB_D4_T1,D4,T1,1,upper,upper 3,NA,1,uRB,4,G,6.2,Group1_upper 3_4G_uRB,44.59809853,Discard,19.6,0.416104537
Group1_upper 3_6G_mRB_D4_T1,D4,T1,1,upper,upper 3,NA,2,mRB,6,G,5.5,Group1_upper 3_6G_mRB,70.18683997,Good,20.8,0.266064771
Group1_upper 3_7G_uRB_D4_T1,D4,T1,1,upper,upper 3,NA,3,uRB,7,G,6.9,Group1_upper 3_7G_uRB,74.26875795,Good,21.4,0.214164287
Group2_lower 1_1Y_uRB_D4_T1,D4,T1,2,lower,lower 1,NA,3,uRB,1,Y,6.1,Group2_lower 1_1Y_uRB,69.45681211,Good,21.8,0.165434856
Group2_lower 1_49W_mSU_D4_T1,D4,T1,2,lower,lower 1,NA,4,mSU,49,W,5.4,Group2_lower 1_49W_mSU,98.26931195,Good,23.2,0.14222071
Group2_lower 1_50W_mRB_D4_T1,D4,T1,2,lower,lower 1,NA,5,mRB,50,W,6.3,Group2_lower 1_50W_mRB,75.59848803,Good,24.6,0.304814246
Group2_lower 1_5Y_mRB_D4_T1,D4,T1,2,lower,lower 1,3,2,mRB,5,Y,6.1,Group2_lower 1_5Y_mRB,61.80257511,Good,23.7,0.063655189
Group2_lower 1_8Y_mRB_D4_T1,D4,T1,2,lower,lower 1,NA,0,mRB,8,Y,6.7,Group2_lower 1_8Y_mRB,71.56726768,Good,21.2,0.162385677
Group2_lower 1_9Y_mSU_D4_T1,D4,T1,2,lower,lower 1,NA,1,mSU,9,Y,4.4,Group2_lower 1_9Y_mSU,71.40695915,Good,21.9,0.39740872
Group2_lower 2_15W_mSU_D4_T1,D4,T1,2,lower,lower 2,NA,2,mSU,15,W,5.3,Group2_lower 2_15W_mSU,81.05726872,Good,20.4,0.263533914
Group2_lower 2_21W_uRB_D4_T1,D4,T1,2,lower,lower 2,NA,1,uRB,21,W,6,Group2_lower 2_21W_uRB,69.04250751,Good,21.1,0.082084425
